invoice_date,pl_number,invoice_number,consignee_name,consignee_address,consignee_tel,consignee_email,exporter_name,manufacturer,shipping_port,departure_date,payment_term,destination,vessel_flight,total_cartons,total_nw_kg,total_gw_kg,total_cbm,total_pallets,id,order_id
2025-01-27 00:00:00,PL-20250127 00:00:00-OV5파렛트,20250127 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,2213.663999999998,2391.913999999996,5.451713000000006,5,c08422f0-7233-4295-a9e8-89181a0c18b9,04ab02f7-871a-4fc1-ad10-4c4aff60a141
2025-02-11 00:00:00,PL-20250211 00:00:00-OV2파렛트,20250211 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,1122.882,1207.632,2.712561000000001,2,93f5ee68-c3ce-45b6-a7bc-5cca0b82108f,3ace68f3-32f9-4ba6-86d7-72653f7edd58
2025-01-27 00:00:00,PL-20250127 00:00:00-FO3파렛트,20250127 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,1341.696319999999,1457.02868,3.6649560000000005,3,d4e411be-7a74-4fb0-b12b-5a3edf608b28,881f7011-f95d-4ec6-b576-4cfbbbe542a7
2025-02-11 00:00:00,PL-20250211 00:00:00-FO2파렛트,20250211 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,809.7176399999998,867.3999999999999,1.938344750000002,2,a612920a-ca5e-43df-9541-b6a4c6f6c13a,5b5e729b-4c69-42fc-8078-afb3cccef55a
2025-01-27 00:00:00,PL-20250127 00:00:00-스크5파렛트,20250127 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,2560.036439999999,2770.268799999999,6.786039750000001,5,96cb71aa-6b11-46b5-9b37-5bf633a5a929,b175e848-1b9b-4db4-94d6-73cbe6aa5af4
2025-02-11 00:00:00,PL-20250211 00:00:00-스톡6파렛트,20250211 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,2550.0288399999986,2747.455359999997,6.403301749999993,6,1a202be9-fe13-47a8-8c1b-bf93a8dea346,8f37f009-d234-4601-8182-7179501a9905
2025-01-27 00:00:00,PL-20250127 00:00:00-스크2파렛트,20250127 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,857.8897400000005,919.1280000000006,2.0429050000000006,2,950f8b95-233f-4cb9-abfa-3628a8c9f866,c8f2068d-2539-4064-8f01-b6344997617f
2025-02-11 00:00:00,PL-20250211 00:00:00-스크5파렛트,20250211 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,2202.761999999999,2371.911999999995,5.926272624999987,5,ec92e174-7192-476b-a58e-7348439a87ea,1ab4c36d-e03a-4429-8475-c8101efd37c8
2025-01-27 00:00:00,PL-20250127 00:00:00-다르9파렛트,20250127 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,4138.618560000001,4472.247999999999,10.538289124999945,9,31d04c5a-6093-4e8e-a477-20c317a34798,48897867-6446-4133-8592-50290e038bbe
2025-02-11 00:00:00,PL-20250211 00:00:00-다르5파렛트,20250211 00:00:00,"Afrodita Co., Ltd","XXV, 4 D Vatutina, Vladivistok, Primorsky region,",+7-904-628-5476,icon.brand.manager@gmail.com,"EVAS cosmetic CO., LTD","EVAS cosmetic CO., LTD",,,,,,0,2147.5559199999975,2317.785360000002,6.0939342499999825,5,c0436844-b0ad-43a2-89f5-e14b169113cc,9570d5c1-c5bd-4f2c-9ddd-dc0e0051e5bf
